Record ID,Agreement Title,Agreement Type,Agreement Summary,Focus Area,Agreement Signing Link,Partner Institution,Partner Type,Country,City,Partner Website,Partner Logo Link,Start Date,End Date,Implementing Unit,Students Exchanged,Faculty Exchanged,Joint Programs,SDGs,Supports QS Ranking,Supports UI GreenMetric,Latitude,Longitude
12,University of Malaya,Memorandum of Understanding,"Joint initiatives to promote innovation, digital skills, and applied learning.",Sustainability & Environment,https://www.uob.edu.bh/news/agreement-12,University of Malaya,University,Malaysia,Kuala Lumpur,https://www.um.edu.my,https://www.um.edu.my/images/um-logo.png,01/01/2019,31/12/2023,College of Science,2,2,3,SDG 9,Yes,Yes,3.1319,101.6841
22,University of Malaya,Memorandum of Understanding,Partnership aimed at strengthening research collaboration and joint academic initiatives.,"Student Exchange, Faculty Exchange, Joint Academic Programs",https://www.uob.edu.bh/news/agreement-22,University of Malaya,University,Malaysia,Kuala Lumpur,https://www.um.edu.my,https://www.um.edu.my/images/um-logo.png,01/01/2019,31/12/2021,College of Science,2,2,1,SDG 9,Yes,Yes,3.1319,101.6841
9,Qatar University,Memorandum of Understanding,"Strategic cooperation in capacity building, training, and professional development programs.",Training & Capacity Building,https://www.uob.edu.bh/news/agreement-9,Qatar University,University,Qatar,Doha,https://www.qu.edu.qa,https://www.qu.edu.qa/static_file/qu/logo.png,31/12/2020,30/12/2025,Bahrain Teachers College,9,4,3,"SDG 9, SDG 13",Yes,Yes,25.3548,51.1839
19,Qatar University,Memorandum of Understanding,"Academic partnership focusing on student mobility, faculty exchange, and joint curriculum development.",Sustainability & Environment,https://www.uob.edu.bh/news/agreement-19,Qatar University,University,Qatar,Doha,https://www.qu.edu.qa,https://www.qu.edu.qa/static_file/qu/logo.png,31/12/2020,31/12/2023,Bahrain Teachers College,9,4,1,SDG 13,Yes,Yes,25.3548,51.1839
29,Qatar University,Memorandum of Understanding,"Cooperation to deliver professional training, assessment services, and certification programs.","Student Exchange, Faculty Exchange, Joint Academic Programs",https://www.uob.edu.bh/news/agreement-29,Qatar University,University,Qatar,Doha,https://www.qu.edu.qa,https://www.qu.edu.qa/static_file/qu/logo.png,31/12/2020,30/12/2024,Bahrain Teachers College,9,4,2,SDG 13,Yes,Yes,25.3548,51.1839
5,British Council,Memorandum of Understanding,"Cooperation to deliver professional training, assessment services, and certification programs.",Sustainability & Environment,https://www.uob.edu.bh/news/agreement-5,British Council,International Organization,United Kingdom,London,https://www.britishcouncil.org,https://www.britishcouncil.org/sites/default/files/british-council-logo.png,31/12/2021,30/12/2025,Deanship of Graduate Studies,5,5,2,"SDG 5, SDG 10",Yes,Yes,51.5074,-0.1278
15,British Council,Memorandum of Understanding,"Strategic cooperation in capacity building, training, and professional development programs.","Student Exchange, Faculty Exchange, Joint Academic Programs",https://www.uob.edu.bh/news/agreement-15,British Council,International Organization,United Kingdom,London,https://www.britishcouncil.org,https://www.britishcouncil.org/sites/default/files/british-council-logo.png,31/12/2021,30/12/2026,Deanship of Graduate Studies,5,5,3,SDG 5,Yes,Yes,51.5074,-0.1278
25,British Council,Memorandum of Understanding,"Academic partnership focusing on student mobility, faculty exchange, and joint curriculum development.",Testing & Assessment,https://www.uob.edu.bh/news/agreement-25,British Council,International Organization,United Kingdom,London,https://www.britishcouncil.org,https://www.britishcouncil.org/sites/default/files/british-council-logo.png,31/12/2021,30/12/2024,Deanship of Graduate Studies,5,5,1,SDG 5,Yes,Yes,51.5074,-0.1278
1,Boston University,Memorandum of Understanding,"Academic partnership focusing on student mobility, faculty exchange, and joint curriculum development.","Student Exchange, Faculty Exchange, Joint Academic Programs",https://www.uob.edu.bh/news/agreement-1,Boston University,University,United States,Boston,https://www.bu.edu,https://www.bu.edu/brand/files/2019/06/BU-Logo.png,01/01/2018,31/12/2020,College of Arts,1,1,1,SDG 10,Yes,Yes,42.3505,-71.1054
6,Cisco Systems,Memorandum of Understanding,"Joint initiatives to promote innovation, digital skills, and applied learning.",Innovation & Entrepreneurship,https://www.uob.edu.bh/news/agreement-6,Cisco Systems,Private Sector / Company,United States,San Jose,https://www.cisco.com,https://www.cisco.com/c/dam/www/global/images/logo.svg,01/01/2018,31/12/2022,College of Arts,6,1,3,"SDG 4, SDG 9",Yes,Yes,37.3382,-121.8863
11,Boston University,Memorandum of Understanding,"Cooperation to deliver professional training, assessment services, and certification programs.",Testing & Assessment,https://www.uob.edu.bh/news/agreement-11,Boston University,University,United States,Boston,https://www.bu.edu,https://www.bu.edu/brand/files/2019/06/BU-Logo.png,01/01/2018,31/12/2021,College of Arts,1,1,2,SDG 4,Yes,Yes,42.3505,-71.1054
16,Cisco Systems,Memorandum of Understanding,Partnership aimed at strengthening research collaboration and joint academic initiatives.,Training & Capacity Building,https://www.uob.edu.bh/news/agreement-16,Cisco Systems,Private Sector / Company,United States,San Jose,https://www.cisco.com,https://www.cisco.com/c/dam/www/global/images/logo.svg,01/01/2018,31/12/2020,College of Arts,6,1,1,"SDG 4, SDG 10",Yes,Yes,37.3382,-121.8863
21,Boston University,Memorandum of Understanding,"Strategic cooperation in capacity building, training, and professional development programs.",Community Engagement,https://www.uob.edu.bh/news/agreement-21,Boston University,University,United States,Boston,https://www.bu.edu,https://www.bu.edu/brand/files/2019/06/BU-Logo.png,01/01/2018,31/12/2022,College of Arts,1,1,3,SDG 4,Yes,Yes,42.3505,-71.1054
26,Cisco Systems,Memorandum of Understanding,"Collaboration to support research activities, academic exchange, and knowledge transfer.",Sustainability & Environment,https://www.uob.edu.bh/news/agreement-26,Cisco Systems,Private Sector / Company,United States,San Jose,https://www.cisco.com,https://www.cisco.com/c/dam/www/global/images/logo.svg,01/01/2018,31/12/2021,College of Arts,6,1,2,"SDG 4, SDG 9",Yes,Yes,37.3382,-121.8863
